model,display_name,total_parameters,trainable_parameters,gmacs,gflops,batch_size,input_shape,output_shape,dtype
lpan_l_direct,LPAN-L-Direct,669396,669396,2.634190848,5.268381696,1,"[1, 2, 32, 64, 2]","[1, 6, 256, 64, 2]",float32
edsr_lite,EDSR-lite,304716,304716,4.982833152,9.965666304,1,"[1, 2, 32, 64, 2]","[1, 6, 256, 64, 2]",float32
spatial_gcn,Spatial GCN,25344,25344,0.02138112,0.04276224,1,"[1, 2, 32, 64, 2]","[1, 6, 256, 64, 2]",float32
cnn_gru,CNN-GRU,32962,32962,1.434458304,2.868916608,1,"[1, 2, 32, 64, 2]","[1, 6, 256, 64, 2]",float32
gcn_gru,GCN-GRU,79552,79552,0.071737728,0.143475456,1,"[1, 2, 32, 64, 2]","[1, 6, 256, 64, 2]",float32
phymeta_stgt,PhyMeta-STGT,188360,188360,0.113828352,0.227656704,1,"[1, 2, 32, 64, 2]","[1, 6, 256, 64, 2]",float32
